src,dst,shapley_raw,shapley_normalized
1286,1798,47.083263874053955,5.421500856696094e-05
619,4135,47.057496070861816,5.418533769124275e-05
6161,6198,47.04166316986084,5.416710656636356e-05
1287,1398,47.03128671646118,5.415515838215394e-05
575,1425,46.996469497680664,5.4115067367658584e-05
1721,3226,46.98588943481445,5.41028847330718e-05
667,4736,46.98016357421875,5.4096291571177174e-05
1380,6665,46.96746826171875,5.408167328817562e-05
813,838,46.88133430480957,5.398249254267274e-05
1380,6666,46.8750057220459,5.3975205363736566e-05
599,4940,46.867919921875,5.396704627098555e-05
1741,2629,46.851863861083984,5.3948558184100475e-05
1503,2489,46.84206771850586,5.3937278210918986e-05
1389,5738,46.83946990966797,5.393428690961969e-05
229,5584,46.83466720581055,5.3928756735851976e-05
7,574,46.829463958740234,5.392276534822754e-05
120,2830,46.81494140625,5.3906043051536764e-05
84,1483,46.74087381362915,5.3820756373467565e-05
1805,2804,46.704551696777344,5.3778932512624816e-05
32,1474,46.685829162597656,5.375737405920786e-05
71,423,46.666343688964844,5.3734937103206676e-05
455,2062,46.66476058959961,5.3733114210344404e-05
220,1212,46.59223937988281,5.3649608147200615e-05
1670,1742,46.51335096359253,5.3558770430927325e-05
506,3331,46.50805044174194,5.35526670342234e-05
43,5283,46.475460052490234,5.351514014914576e-05
1321,5296,46.47472381591797,5.351429239415198e-05
1710,4366,46.47449827194214,5.351403268682551e-05
240,5250,46.47255611419678,5.351179634868454e-05
1420,5586,46.43503761291504,5.3468594885976895e-05
2,10,46.39207077026367,5.3419119816689635e-05
5480,6354,46.312514305114746,5.332751286159104e-05
1287,2774,46.19816732406616,5.3195845639587524e-05
240,1571,46.17667078971863,5.317109300568072e-05
1937,7142,46.15931701660156,5.315111064080629e-05
2134,5297,46.151015281677246,5.314155143456165e-05
2198,2825,46.149784088134766,5.3140133751016355e-05
529,3967,46.10042953491211,5.308330341884265e-05
4350,4414,46.084922790527344,5.3065447853818214e-05
2809,3600,46.0423469543457,5.3016423017105375e-05
2410,6010,46.00071144104004,5.296848093482759e-05
2019,7003,45.98886489868164,5.2954839985950996e-05
57,3629,45.981019020080566,5.294580568500044e-05
153,1165,45.971038818359375,5.2934313773070506e-05
2927,5080,45.947224617004395,5.290689241303206e-05
713,4611,45.9379997253418,5.2896270218660513e-05
220,3651,45.92050075531006,5.287612066376301e-05
1719,1892,45.91687202453613,5.287194228584678e-05
3011,4873,45.90434646606445,5.285751946967021e-05
1380,5206,45.836188316345215,5.277903734317998e-05
1943,4568,45.719733238220215,5.264494270872342e-05
454,482,45.71297645568848,5.263716247021185e-05
1710,3609,45.70218086242676,5.262473165864502e-05
730,958,45.68119812011719,5.260057064132229e-05
2809,3380,45.570064544677734,5.247260356239073e-05
1952,6889,45.543670654296875,5.244221176548936e-05
123,6805,45.53782272338867,5.2435478043181255e-05
61,3662,45.51179885864258,5.2405512320033236e-05
3965,4492,45.50556564331055,5.239833495392009e-05
428,2226,45.49679088592529,5.238823107607324e-05
446,5844,45.455020904541016,5.234013415771499e-05
227,5101,45.41270446777344,5.229140801188078e-05
529,5353,45.384273052215576,5.2258670064015416e-05
3176,4118,45.36038303375244,5.223116140278266e-05
